Molecule,Form,Brand,Manufacturer,2009_Sales,2010_Sales,2011_Sales,2012_Sales,2013_Sales,2014_Sales,2015_Sales
BENZETHONIUM,D DERMATOLOGICALS,OTHER,MPM MEDICAL,$69 ,,,,,,
BENZETHONIUM,D DERMATOLOGICALS,OTHER,SMITH & NEPHEW WOU,"$118,369 ","$139,525 ","$114,257 ","$113,098 ","$117,478 ","$93,233 ","$1,824 "
BENZETHONIUM!BENZOCAINE,"A RECTALS,TOPICAL",OTHER,PRESTIGE BRANDS,"$181,684 ","$254,049 ","$243,039 ","$261,460 ","$250,067 ","$244,619 ","$25,129 "
BENZETHONIUM!BENZOCAINE,D DERMATOLOGICALS,BRANDED GENERIC,UCB PHARMA,"$2,857 ","$4,615 ","$4,567 ","$18,044 ","$26,157 ","$20,425 ","$5,826 "
BENZETHONIUM!BENZOCAINE,D DERMATOLOGICALS,OTHER,RECKITT BENCKISER,"$533,996 ","$692,721 ","$476,771 ","$892,884 ","$805,280 ","$436,863 ","$91,690 "
BENZETHONIUM!BENZOCAINE!BENZOXIQUINE!MENTHOL,D DERMATOLOGICALS,OTHER,MEDTECH LABS,"$4,646,074 ","$4,752,973 ","$4,309,019 ","$4,755,396 ","$4,857,925 ","$5,067,886 ","$1,164,177 "
BENZETHONIUM!DIPHENHYDRAMINE,D DERMATOLOGICALS,OTHER,TEC-LABS,"$802,069 ","$1,180,845 ","$1,054,602 ","$1,347,181 ","$1,774,228 ","$1,297,195 ","$109,324 "
BENZETHONIUM!DYCLONINE,D DERMATOLOGICALS,OTHER,PRESTIGE BRANDS,"$8,567 ","$11,360 ","$10,461 ","$12,303 ","$246,458 ","$397,024 ","$123,505 "
BENZETHONIUM!LIDOCAINE,D DERMATOLOGICALS,OTHER,ACTIV USA,"$155,253 ",$374 ,$234 ,$266 ,$492 ,$140 ,
BENZETHONIUM!LIDOCAINE,D DERMATOLOGICALS,OTHER,TEC-LABS,"$947,182 ","$1,338,468 ","$1,077,177 ","$21,618 ",$66 ,,
BENZETHONIUM!ZINC,D DERMATOLOGICALS,OTHER,SWEEN CORP,"$944,955 ","$1,110,167 ","$895,891 ","$665,052 ","$611,069 ","$457,400 ","$87,361 "
BENZOCAINE,D DERMATOLOGICALS,OTHER,3M PERSONAL CARE,"$234,436 ","$335,393 ","$537,631 ","$420,563 ","$80,301 ","$3,119 ",$629 
BENZOCAINE,D DERMATOLOGICALS,OTHER,BEUTLICH,"$2,276,811 ","$3,174,848 ","$2,989,920 ","$2,901,528 ","$2,913,581 ","$2,762,407 ","$657,230 "
BENZOCAINE,D DERMATOLOGICALS,OTHER,BLAIREX LABS INC,"$854,649 ","$1,478,332 ","$1,134,349 ","$1,294,532 ","$1,524,486 ","$1,206,507 ","$315,213 "
BENZOCAINE,D DERMATOLOGICALS,OTHER,DEL PHARMACEUTICAL,"$32,337 ","$53,418 ","$25,472 ","$1,077 ","$1,709 ","$4,835 ","$2,390 "
BENZOCAINE,D DERMATOLOGICALS,OTHER,GERITREX CORP,"$25,249 ","$26,152 ","$24,154 ","$29,322 ","$32,552 ","$26,842 ","$7,073 "
BENZOCAINE,D DERMATOLOGICALS,OTHER,MAJESTIC,"$80,748 ","$135,132 ","$113,269 ","$131,720 ","$118,991 ","$101,181 ","$1,842 "
BENZOCAINE,D DERMATOLOGICALS,OTHER,PRESTIGE BRANDS,"$327,245 ","$520,826 ","$548,615 ","$620,807 ","$673,251 ","$664,879 ","$96,004 "
BENZOCAINE,D DERMATOLOGICALS,OTHER,PRIVATE LABEL,"$949,979 ","$2,476,273 ","$2,510,569 ","$2,384,844 ","$1,964,547 ","$1,613,261 ","$428,430 "
BENZOCAINE,D DERMATOLOGICALS,OTHER,SCHERER LABS,"$48,060 ","$84,679 ","$68,521 ","$45,047 ","$30,860 ","$25,999 ","$1,046 "
BENZOCAINE,E OTICS,BRANDED GENERIC,QUALITEST PRODUCTS,"$4,172 ",$262 ,,,,,
BENZOCAINE,E OTICS,BRANDED GENERIC,RIVERS EDGE,"$130,803 ","$93,848 ","$21,089 ",,,,
BENZOCAINE,E OTICS,BRANDED GENERIC,SIRCLE LABS,,,"$12,087 ","$99,434 ","$95,771 ","$82,353 ","$6,726 "
BENZOCAINE,M MOUTH & THROAT,BRANDED GENERIC,HENRY SCHEIN INC.,"$1,186,953 ","$1,800,001 ","$1,178,063 ","$1,122,784 ","$1,253,004 ","$1,349,077 ","$378,275 "
BENZOCAINE,M MOUTH & THROAT,BRANDED GENERIC,SULTAN CHEMISTS,,"$159,571 ","$829,648 ","$1,110,104 ","$1,138,016 ","$1,057,809 ","$277,637 "
BENZOCAINE,M MOUTH & THROAT,OTHER,BEUTLICH,"$376,195 ","$561,036 ","$567,802 ","$1,214,294 ","$2,861,497 ","$3,462,025 ","$958,245 "
BENZOCAINE,M MOUTH & THROAT,OTHER,BLAIREX LABS INC,"$124,598 ","$192,235 ","$156,080 ","$1,426 ",,,
BENZOCAINE,M MOUTH & THROAT,OTHER,CHURCH & DWIGHT,"$17,728,552 ","$22,767,745 ","$20,211,062 ","$18,278,065 ","$17,578,907 ","$17,149,282 ","$5,203,211 "
BENZOCAINE,M MOUTH & THROAT,OTHER,COLGATE ORAL PHARM,"$1,485,835 ","$1,183,756 ","$1,425,270 ","$1,270,491 ","$945,621 ","$481,489 ","$113,835 "
BENZOCAINE,M MOUTH & THROAT,OTHER,CYPRESS PHARM,"$40,288 ","$121,011 ","$1,940 ",,,,
BENZOCAINE,M MOUTH & THROAT,OTHER,MAJOR PHARM,$120 ,"$3,196 ","$3,786 ","$7,821 ","$5,677 ",$106 ,
BENZOCAINE,M MOUTH & THROAT,OTHER,MENTHOLATUM,"$3,604,733 ","$7,688,710 ","$6,804,676 ","$6,689,289 ","$647,464 ",,
BENZOCAINE,M MOUTH & THROAT,OTHER,PFIZER CPD,"$6,576,535 ","$9,121,797 ","$8,658,642 ","$9,265,772 ","$9,678,853 ","$9,717,308 ","$2,351,524 "
BENZOCAINE,M MOUTH & THROAT,OTHER,PRIVATE LABEL,"$4,025,754 ","$5,739,785 ","$9,227,262 ","$7,124,104 ","$4,599,723 ","$3,244,234 ","$777,430 "
BENZOCAINE,M MOUTH & THROAT,OTHER,REESE PHARM,$563 ,$744 ,$596 ,$578 ,$437 ,$123 ,
BENZOCAINE,M MOUTH & THROAT,OTHER,VETCO,$734 ,"$1,031 ","$1,369 ","$1,069 ",$624 ,,
BENZOCAINE,O ORALS,OTHER,MPM MEDICAL,$367 ,$478 ,$28 ,,,$461 ,$395 
BENZOCAINE,O ORALS,OTHER,RECKITT BENCKISER,"$473,930 ","$673,232 ","$379,605 ","$13,977 ",,,
BENZOCAINE,T OTHER TOPICALS,OTHER,BEUTLICH,"$25,288 ","$44,736 ","$46,668 ","$47,785 ","$50,472 ","$53,414 ","$12,348 "
BENZOCAINE,T OTHER TOPICALS,OTHER,GERITREX CORP,,,,,$515 ,$560 ,$138 
BENZOCAINE,Y ALL OTHERS,GENERIC,LETCO MED,,$87 ,"$4,260 ","$25,469 ","$30,965 ","$37,206 ","$7,262 "
BENZOCAINE,Y ALL OTHERS,GENERIC,MEDISCA INC,,,$494 ,$889 ,"$1,462 ","$1,640 ",$812 
BENZOCAINE,Y ALL OTHERS,OTHER,BEUTLICH,"$49,657 ","$67,017 ","$55,614 ","$49,429 ","$45,185 ","$39,523 ","$9,775 "
BENZOCAINE!BENZYL ALCOHOL,D DERMATOLOGICALS,OTHER,BLISTEX,"$14,930 ","$21,578 ","$22,083 ","$22,406 ","$20,353 ","$20,630 ","$4,673 "
BENZOCAINE!BENZYL BENZOATE,D DERMATOLOGICALS,OTHER,SCHERER LABS,"$9,193 ","$9,901 ","$6,825 ","$6,948 ","$3,994 ","$2,606 ",$41 
BENZOCAINE!BUTYLCAINE!TETRACAINE,D DERMATOLOGICALS,BRANDED GENERIC,CETYLITE,"$4,360 ","$6,574 ",$989 ,,$253 ,$250 ,
BENZOCAINE!BUTYLCAINE!TETRACAINE,D DERMATOLOGICALS,BRANDED GENERIC,ONSET DERMATOLOGIC,"$1,015,837 ","$2,072,303 ","$2,053,187 ","$981,559 ",,,
BENZOCAINE!CALAMINE!CAMPHOR!MENTHOL!PYRILAMINE!ZIRCONIUM,D DERMATOLOGICALS,OTHER,BLISTEX,"$838,923 ","$1,241,419 ","$893,220 ","$1,233,376 ","$1,033,880 ","$1,236,609 ","$142,160 "
BENZOCAINE!CAMPHOR!DIPHENHYDRAMINE!PHENOL,D DERMATOLOGICALS,OTHER,WISCONSIN PHARM,"$285,504 ","$352,889 ","$1,116 ",,,,
BENZOCAINE!CAMPHOR!HAMAMELIS,"A RECTALS,TOPICAL",OTHER,HUMPHREY PHARMACAL,,$33 ,,,,,
BENZOCAINE!CAMPHOR!MENTHOL,D DERMATOLOGICALS,OTHER,BAYER CONSUMER CAR,"$477,118 ","$570,406 ","$221,036 ",,,,
BENZOCAINE!CETRIMONIUM!DIPROPYLENEGLYCOL!MENTHOL,D DERMATOLOGICALS,OTHER,MEDIQUE PRODS,"$3,143 ","$7,900 ","$5,496 ","$6,242 ","$5,032 ","$4,803 ","$1,110 "
BENZOCAINE!CETYLPYRIDINIUM,M MOUTH & THROAT,OTHER,MAJOR PHARM,$124 ,$250 ,,,,,
BENZOCAINE!CETYLPYRIDINIUM,M MOUTH & THROAT,OTHER,MEDIQUE PRODS,$380 ,$7 ,$385 ,,,,
BENZOCAINE!CETYLPYRIDINIUM!MENTHOL,M MOUTH & THROAT,OTHER,RECKITT BENCKISER,,$328 ,"$7,928,607 ","$4,415,070 ","$3,857,186 ","$4,681,167 ","$1,330,346 "
BENZOCAINE!CHLOROTHYMOL!RESORCINOL,D DERMATOLOGICALS,OTHER,RECKITT BENCKISER,"$421,642 ","$653,945 ","$526,778 ","$898,646 ","$730,695 ","$977,241 ","$168,813 "
BENZOCAINE!CHLOROXYLENOL!HYDROCORTISONE,E OTICS,BRANDED GENERIC,G. M. PHARM,,,"$215,587 ","$226,152 ","$16,057 ",,
BENZOCAINE!CHLOROXYLENOL!HYDROCORTISONE,E OTICS,BRANDED GENERIC,VERTICAL PHARM,"$51,238 ","$579,009 ","$115,899 ",,,,
BENZOCAINE!COAL TAR!SALICYLIC ACID,D DERMATOLOGICALS,OTHER,MEDTECH LABS,"$43,719 ","$60,040 ","$61,384 ","$37,574 ","$38,428 ","$35,213 ","$6,702 "
BENZOCAINE!DEXTROMETHORPHAN,M MOUTH & THROAT,OTHER,MAJOR PHARM,,,,,,$20 ,$77 
BENZOCAINE!DEXTROMETHORPHAN,M MOUTH & THROAT,OTHER,RECKITT BENCKISER,"$2,545 ","$5,962 ","$379,135 ","$865,694 ","$868,343 ","$1,177,117 ","$383,372 "
BENZOCAINE!DEXTROMETHORPHAN!GLYCEROL,M MOUTH & THROAT,OTHER,RECKITT BENCKISER,$146 ,$37 ,,,,,
BENZOCAINE!DEXTROMETHORPHAN!MENTHOL,M MOUTH & THROAT,OTHER,MEDTECH LABS,,,$241 ,"$6,736 ","$374,236 ","$645,612 ","$308,023 "
BENZOCAINE!DISINFECTANTS,D DERMATOLOGICALS,OTHER,MEDIQUE PRODS,"$3,072 ","$7,660 ","$5,897 ","$6,352 ","$6,069 ","$6,180 ","$1,512 "
BENZOCAINE!DOCUSATE,"A RECTALS,TOPICAL",OTHER,ALLIANCE LABS,,,,,$141 ,"$368,868 ","$600,248 "
BENZOCAINE!DOCUSATE,"R RECTALS,SYST",OTHER,ALLIANCE LABS,"$226,928 ","$343,519 ","$391,765 ","$294,081 ","$312,219 ","$326,697 ","$107,827 "
BENZOCAINE!DOCUSATE,"R RECTALS,SYST",OTHER,STRATUS PHARM,,,,,"$11,733 ",,
BENZOCAINE!ETHANOL!RESORCINOL!SALICYLIC ACID,D DERMATOLOGICALS,OTHER,KRAMER LABS,"$2,015,014 ","$3,273,702 ","$5,093,401 ","$4,769,671 ","$5,580,966 ","$5,026,973 ","$1,146,765 "
BENZOCAINE!GLYCEROL,M MOUTH & THROAT,OTHER,RECKITT BENCKISER,,,"$39,307 ","$80,602 ","$31,578 ",,
BENZOCAINE!ICTHAMMOL!SULFUR,D DERMATOLOGICALS,OTHER,DEL PHARMACEUTICAL,"$699,555 ","$1,039,655 ","$1,173,909 ","$1,077,678 ","$1,201,130 ","$1,279,200 ","$180,906 "
BENZOCAINE!ISOPROPYL ALCOHOL,D DERMATOLOGICALS,OTHER,MAJOR PHARM,$187 ,$568 ,,,,,
BENZOCAINE!ISOPROPYL ALCOHOL,D DERMATOLOGICALS,OTHER,PRIVATE LABEL,"$278,983 ","$397,283 ","$1,846 ",$20 ,,,
BENZOCAINE!MENTHOL,D DERMATOLOGICALS,OTHER,MEDTECH LABS,,"$2,141,054 ","$2,418,979 ","$2,334,532 ","$2,184,304 ","$2,309,383 ","$572,638 "
BENZOCAINE!MENTHOL,D DERMATOLOGICALS,OTHER,MILANCE,"$79,363 ","$102,051 ","$103,588 ","$94,819 ","$88,114 ","$88,382 ","$6,219 "
BENZOCAINE!MENTHOL,D DERMATOLOGICALS,OTHER,TRITON CONSUMER PR,"$1,199 ","$1,625 ",$7 ,,,,
BENZOCAINE!MENTHOL,M MOUTH & THROAT,OTHER,PRESTIGE BRANDS,"$1,417 ","$5,639 ","$22,500 ","$32,757 ","$491,304 ","$434,391 ","$231,709 "
BENZOCAINE!MENTHOL!SALICYLIC ACID,D DERMATOLOGICALS,OTHER,PHYSICIANS SCI,"$73,065 ","$67,473 ","$114,156 ","$206,674 ",,,
BENZOCAINE!METHANOL!PHENOL!POVIDONE-IODINE,M MOUTH & THROAT,OTHER,PFIZER CPD,"$123,144 ","$172,354 ","$163,104 ","$147,279 ","$133,002 ","$103,772 ","$25,942 "
BENZOCAINE!PECTIN,M MOUTH & THROAT,OTHER,RECKITT BENCKISER,,,"$13,485 ","$101,352 ","$107,013 ","$15,550 ","$2,467 "
BENZOCAINE!PHENOL,D DERMATOLOGICALS,OTHER,PFIZER CPD,"$419,488 ","$634,093 ","$519,267 ","$148,330 ","$71,277 ","$47,172 ","$15,320 "
BENZOCAINE!PHENOL,D DERMATOLOGICALS,OTHER,WISCONSIN PHARM,,"$3,224 ",$7 ,$17 ,,,
BENZOCAINE!PHENOL,M MOUTH & THROAT,OTHER,PFIZER CPD,"$289,981 ","$340,897 ","$412,701 ","$314,341 ","$380,308 ","$369,458 ","$125,543 "
BENZOCAINE!PYRILAMINE!ZINC,D DERMATOLOGICALS,OTHER,MAGNA PHARM,"$3,255 ","$2,071 ",$74 ,,,,
BENZOCAINE!RESORCINOL,D DERMATOLOGICALS,OTHER,PRIVATE LABEL,,,,,,"$308,353 ",
BENZOCAINE!RESORCINOL,V VAGINALS,OTHER,COMBE,,,"$4,147,092 ","$1,323,421 ","$1,334,744 ","$1,652,771 ","$462,619 "
BENZOCAINE!SULFUR,D DERMATOLOGICALS,OTHER,PIERSON LABS,,$319 ,$480 ,"$2,137 ","$2,152 ","$3,000 ",$170 
BENZOCAINE!TRICLOSAN,D DERMATOLOGICALS,OTHER,PRIVATE LABEL,"$67,840 ","$131,847 ","$132,186 ","$123,019 ","$332,702 ","$201,561 ","$33,726 "
BENZOIC ACID,D DERMATOLOGICALS,OTHER,GERITREX CORP,,,,$6 ,$545 ,$95 ,$6 
BENZOIC ACID,I INJECTABLES,BRANDED GENERIC,TAYLOR PHARM,"$312,673 ","$538,310 ","$603,885 ","$721,134 ","$174,515 ","$560,829 ","$21,444 "
BENZOIC ACID,Y ALL OTHERS,GENERIC,A-A SPECTRUM,$995 ,"$1,873 ",$156 ,$15 ,$86 ,$104 ,
BENZOIC ACID,Y ALL OTHERS,GENERIC,FAGRON,,,,$68 ,$643 ,$347 ,$213 
BENZOIC ACID,Y ALL OTHERS,GENERIC,MEDISCA INC,,,,,"$3,854 ","$4,764 ","$1,267 "
BENZOIC ACID!CETYL ALCOHOL!EDETIC ACID!ISOPROPYL MYRISTATE,Y ALL OTHERS,GENERIC,FAGRON,,,,,$62 ,,
BENZOIC ACID!HYALURONIC ACID!MALTODEXTRIN!PROPYLENE GLYCOL,M MOUTH & THROAT,BRANDED GENERIC,DARA BIOSCIENCES,"$989,293 ","$1,438,662 ","$1,182,734 ","$240,682 ","$36,483 ","$1,040,970 ","$384,311 "
BENZOIC ACID!HYOSCYAMINE!METHENAMINE!METHYLENE BLUE!SALICYLIC ACID,O ORALS,BRANDED GENERIC,FERRING LAB INC,"$4,722,906 ","$12,345,417 ","$7,614,779 ","$19,657 ","$2,591 ","$2,105 ",
BENZOIC ACID!PHENYLACETIC ACID,I INJECTABLES,BRANDED GENERIC,VALEANT PHARM,"$5,417,754 ","$7,989,280 ","$9,586,699 ","$8,310,138 ","$29,929,204 ","$44,736,724 ","$18,747,605 "
BENZOIC ACID!SALICYLIC ACID,D DERMATOLOGICALS,BRANDED GENERIC,SEVEN OAKS,"$645,901 ","$439,648 ","$132,761 ","$14,717 ","$61,734 ","$3,661,327 ","$534,958 "
BENZOIN,D DERMATOLOGICALS,OTHER,DENISON LABS,$41 ,$49 ,,,,,
BENZOIN,D DERMATOLOGICALS,OTHER,GERITREX CORP,"$214,308 ","$310,479 ","$268,981 ","$210,480 ","$211,007 ","$215,461 ","$62,486 "
BENZOIN,D DERMATOLOGICALS,OTHER,HUMCO,"$19,854 ","$54,664 ","$56,708 ","$61,093 ","$63,722 ","$27,855 ","$5,980 "
BENZOIN,D DERMATOLOGICALS,OTHER,PADDOCK LABS INC,"$35,497 ","$36,943 ","$22,847 ","$22,391 ","$21,152 ","$12,755 ","$2,839 "
BENZOIN,D DERMATOLOGICALS,OTHER,PRIVATE LABEL,"$9,713 ","$17,774 ","$13,794 ","$13,656 ","$14,230 ","$17,871 ","$2,964 "
BENZOIN,Y ALL OTHERS,GENERIC,AMEND,,$189 ,"$5,633 ","$5,853 ","$5,286 ","$2,289 ",
BENZONATATE,O ORALS,BRAND,PFIZER,"$232,954 ","$749,055 ","$438,133 ","$216,282 ","$125,798 ","$112,386 ","$590,678 "
BENZONATATE,O ORALS,BRANDED GENERIC,ATLEY PHARM,,"$910,495 ","$848,353 ","$439,350 ","$502,263 ","$246,038 ","$78,275 "
BENZONATATE,O ORALS,GENERIC,ACTAVIS,"$67,172 ","$125,140 ",,,,,
BENZONATATE,O ORALS,GENERIC,AMERICAN HLTH PKG,"$235,670 ","$601,252 ","$774,114 ","$790,854 ","$952,003 ","$1,076,370 ","$12,927 "
BENZONATATE,O ORALS,GENERIC,AMNEAL PHARM,"$4,381,894 ","$2,894,264 ","$2,451,372 ","$1,907,722 ","$2,540,488 ","$3,556,427 ","$1,847,832 "
BENZONATATE,O ORALS,GENERIC,A-S MEDICATION,"$43,854 ","$61,455 ","$57,758 ","$80,626 ","$103,332 ","$173,726 ","$68,473 "
BENZONATATE,O ORALS,GENERIC,ASCEND LABS,"$495,076 ","$3,914,522 ","$7,579,972 ","$11,320,552 ","$10,639,993 ","$17,302,735 ","$15,035,299 "
BENZONATATE,O ORALS,GENERIC,CARACO PHARM,"$474,000 ","$962,869 ","$1,011,232 ","$793,515 ","$643,915 ","$519,353 ","$478,882 "
BENZONATATE,O ORALS,GENERIC,ETHEX CORP,"$19,002 ",$376 ,$798 ,,,,
BENZONATATE,O ORALS,GENERIC,GSMS INC.,,,"$60,244 ","$75,362 ","$89,334 ","$166,450 ","$2,914 "
BENZONATATE,O ORALS,GENERIC,INWOOD LABS,"$2,409,169 ","$1,004,483 ","$5,731 ",$642 ,,,
BENZONATATE,O ORALS,GENERIC,LIBERTY PHARM,"$19,474 ","$51,401 ","$64,357 ","$41,548 ","$9,092 ","$7,639 ","$21,349 "
BENZONATATE,O ORALS,GENERIC,MAJOR PHARM,"$178,194 ","$469,177 ","$290,844 ","$126,824 ","$136,097 ","$133,352 ","$280,202 "
BENZONATATE,O ORALS,GENERIC,MALLINCKRODT,"$18,211 ",$155 ,,,,,
BENZONATATE,O ORALS,GENERIC,NUCARE PHARM,"$8,740 ","$6,514 ",$214 ,,"$3,430 ",$80 ,
BENZONATATE,O ORALS,GENERIC,PD-RX PHARM,"$75,611 ","$105,688 ","$116,694 ","$99,868 ","$103,094 ","$102,071 ","$39,338 "
BENZONATATE,O ORALS,GENERIC,PHYSICIAN PARTNER,,,,"$22,785 ","$60,644 ","$58,091 ","$8,256 "
BENZONATATE,O ORALS,GENERIC,PROVIDENT PHARM,"$484,731 ","$149,811 ",,,,,
BENZONATATE,O ORALS,GENERIC,REPACKAGER,"$10,295 ","$7,869 ",,,,,
BENZONATATE,O ORALS,GENERIC,TEVA PHARMACEUTICA,"$7,460,448 ","$8,406,758 ","$4,380,968 ","$532,252 ","$691,618 ","$173,365 ","$11,873 "
BENZONATATE,O ORALS,GENERIC,URL PHARMA,"$13,545 ","$2,405 ",,,,,
BENZONATATE,O ORALS,GENERIC,ZYDUS PHARM,"$2,589,794 ","$7,285,972 ","$9,140,916 ","$8,512,617 ","$10,186,395 ","$8,508,409 ","$5,359 "
BENZOPHENONE,D DERMATOLOGICALS,OTHER,NEUTROGENA,"$401,163 ","$615,468 ","$418,690 ","$384,391 ","$344,529 ","$404,791 ","$134,042 "
BENZOYL PEROXIDE,D DERMATOLOGICALS,BRANDED GENERIC,ACELLA PHARM,"$420,110 ","$1,699,738 ","$4,866,269 ","$3,342,845 ","$2,070,207 ","$1,052,402 ","$218,603 "
BENZOYL PEROXIDE,D DERMATOLOGICALS,BRANDED GENERIC,"ARTESA LABS, LLC",,,,,,"$885,287 ","$407,666 "
BENZOYL PEROXIDE,D DERMATOLOGICALS,BRANDED GENERIC,BAYER HEALTHCARE P,"$1,786,240 ","$654,534 ","$96,112 ","$2,244 ",$51 ,,
BENZOYL PEROXIDE,D DERMATOLOGICALS,BRANDED GENERIC,CINTEX SERVICES,,,,"$1,989,118 ","$1,473,100 ","$2,552,080 ","$495,430 "
BENZOYL PEROXIDE,D DERMATOLOGICALS,BRANDED GENERIC,FERNDALE LABS,"$405,905 ","$773,269 ","$419,336 ",$864 ,,,
BENZOYL PEROXIDE,D DERMATOLOGICALS,BRANDED GENERIC,GALDERMA LABS,"$793,725 ","$945,384 ","$252,474 ","$1,532 ",$67 ,,
BENZOYL PEROXIDE,D DERMATOLOGICALS,BRANDED GENERIC,GSK PHARM,"$1,167,808 ","$1,580,300 ","$189,041 ","$136,770 ","$18,093 ","$120,994 ","$20,258 "
BENZOYL PEROXIDE,D DERMATOLOGICALS,BRANDED GENERIC,HAWTHORN PHARM,"$186,648 ","$64,831 ",$165 ,,,,
BENZOYL PEROXIDE,D DERMATOLOGICALS,BRANDED GENERIC,INNOCUTIS,"$391,285 ","$460,635 ","$399,017 ","$450,280 ","$500,757 ","$368,810 ","$61,520 "
BENZOYL PEROXIDE,D DERMATOLOGICALS,BRANDED GENERIC,MEDIMETRIKS PHARM,"$1,360,096 ","$3,107,705 ","$3,013,912 ","$1,285 ",,,
BENZOYL PEROXIDE,D DERMATOLOGICALS,BRANDED GENERIC,OBAGI MEDICAL,"$43,307 ",$384 ,,$128 ,,,
BENZOYL PEROXIDE,D DERMATOLOGICALS,BRANDED GENERIC,ONSET DERMATOLOGIC,"$341,935 ","$4,783,436 ","$13,585,461 ","$17,278,198 ","$17,086,815 ","$10,032,711 ","$802,591 "
BENZOYL PEROXIDE,D DERMATOLOGICALS,BRANDED GENERIC,PHARMADERM,"$315,568 ","$436,532 ","$149,544 ",,,,
BENZOYL PEROXIDE,D DERMATOLOGICALS,BRANDED GENERIC,PRASCO LABS,"$3,993,769 ","$3,870,737 ","$1,005,249 ","$1,974 ",$114 ,,
BENZOYL PEROXIDE,D DERMATOLOGICALS,BRANDED GENERIC,PRUGEN PHARM,"$15,650 ","$270,656 ","$1,113,774 ","$2,821,343 ","$5,141,408 ","$2,289,923 ","$440,587 "
BENZOYL PEROXIDE,D DERMATOLOGICALS,BRANDED GENERIC,RANBAXY PHARM,"$407,135 ","$639,011 ","$622,374 ","$352,834 ",$739 ,,
BENZOYL PEROXIDE,D DERMATOLOGICALS,BRANDED GENERIC,RIVERS EDGE,"$838,788 ","$871,935 ","$163,607 ",$28 ,,,
BENZOYL PEROXIDE,D DERMATOLOGICALS,BRANDED GENERIC,ROCHESTER PHARM,,,"$1,217 ",$864 ,,,
BENZOYL PEROXIDE,D DERMATOLOGICALS,BRANDED GENERIC,SETON PHARM,,"$460,273 ","$535,331 ","$224,567 ","$102,793 ","$45,535 ",
BENZOYL PEROXIDE,D DERMATOLOGICALS,BRANDED GENERIC,TRIGEN LABS,,,"$233,237 ","$94,012 ","$10,702 ",,
BENZOYL PEROXIDE,D DERMATOLOGICALS,BRANDED GENERIC,VALEANT PHARM,"$18,612,896 ","$36,142,249 ","$10,506,939 ","$27,639 ",,,
BENZOYL PEROXIDE,D DERMATOLOGICALS,GENERIC,ACTAVIS,"$3,285,456 ","$6,844,737 ","$2,144,651 ",$506 ,,$32 ,
BENZOYL PEROXIDE,D DERMATOLOGICALS,GENERIC,A-S MEDICATION,$50 ,,,,,$119 ,$286 
BENZOYL PEROXIDE,D DERMATOLOGICALS,GENERIC,FERNDALE LABS,,,,"$1,815 ","$13,602 ","$18,629 ","$3,059 "
BENZOYL PEROXIDE,D DERMATOLOGICALS,GENERIC,GLENMARK PHARMA,"$228,211 ","$2,434,269 ","$796,655 ",$234 ,$60 ,,
BENZOYL PEROXIDE,D DERMATOLOGICALS,GENERIC,GSK PHARM,"$1,791,850 ","$911,156 ","$10,708 ",,,,
BENZOYL PEROXIDE,D DERMATOLOGICALS,GENERIC,HARRIS PHARM,"$345,336 ","$790,079 ","$1,080,835 ","$101,769 ","$115,790 ","$119,250 ","$29,353 "
BENZOYL PEROXIDE,D DERMATOLOGICALS,GENERIC,HI-TECH PHARMACAL,"$11,670 ",$41 ,,,,,
BENZOYL PEROXIDE,D DERMATOLOGICALS,GENERIC,KYLEMORE PHARMA,,"$66,511 ","$132,427 ","$2,714 ",$403 ,,
BENZOYL PEROXIDE,D DERMATOLOGICALS,GENERIC,METACON LABS,,,"$1,092,962 ","$4,412,315 ","$4,648,055 ","$3,419,255 ","$167,469 "
BENZOYL PEROXIDE,D DERMATOLOGICALS,GENERIC,PERRIGO,"$8,442,507 ","$13,500,968 ","$8,742,796 ","$2,768,610 ","$518,825 ","$436,176 ","$115,051 "
BENZOYL PEROXIDE,D DERMATOLOGICALS,GENERIC,QUALITEST PRODUCTS,"$180,800 ","$2,735 ",,$153 ,,,
BENZOYL PEROXIDE,D DERMATOLOGICALS,GENERIC,RIVERS EDGE,"$1,075,697 ","$2,695,837 ","$911,645 ","$8,831 ",,,
BENZOYL PEROXIDE,D DERMATOLOGICALS,GENERIC,TAGI PHARMA,,,,,"$2,165 ","$525,166 ","$274,918 "
BENZOYL PEROXIDE,D DERMATOLOGICALS,GENERIC,TRIMARC LABS,"$141,582 ","$311,819 ","$109,027 ","$6,620 ","$5,312 ","$4,004 ",
BENZOYL PEROXIDE,D DERMATOLOGICALS,OTHER,ALTAIRE PHARM,"$1,253 ","$1,603 ","$2,358 ","$2,504 ","$3,127 ","$1,811 ",$499 
BENZOYL PEROXIDE,D DERMATOLOGICALS,OTHER,BHI,"$1,845,197 ","$2,376,248 ","$2,115,065 ","$1,247,402 ","$1,585,011 ","$917,834 ","$226,300 "
BENZOYL PEROXIDE,D DERMATOLOGICALS,OTHER,BIOCOMP PHARMA,,,,"$5,479 ",,,
BENZOYL PEROXIDE,D DERMATOLOGICALS,OTHER,CINTEX SERVICES,,,,$907 ,"$57,624 ","$319,272 ","$121,568 "
BENZOYL PEROXIDE,D DERMATOLOGICALS,OTHER,GERITREX CORP,,,,,,$167 ,"$1,765 "
