Molecule,Form,Type,Product,Strength,2009_Sales,2010_Sales,2011_Sales,2012_Sales,2013_Sales,2014_Sales,2015_Sales
CODEINE!PHENYLEPHRINE,O ORALS,BRANDED GENERIC,NOTUSS-NX,9.375-10MG/5ML,,"$23,315 ","$101,425 ","$36,053 ",,,
CODEINE!PHENYLEPHRINE!PROMETHAZINE,O ORALS,GENERIC,CD/PE/PROMETH,5-10-6.25MG/5ML,"$3,825,801 ","$6,634,154 ","$7,891,523 ","$7,182,631 ","$12,509,373 ","$14,961,684 ","$5,850,415 "
CODEINE!PHENYLEPHRINE!PROMETHAZINE,O ORALS,GENERIC,PROMETHAZINE VC/CD,6.25-5-10MG/5ML,$959 ,$496 ,,,,$132 ,$432 
CODEINE!PHENYLEPHRINE!PROMETHAZINE,O ORALS,GENERIC,PROMETHAZINE VC/CD,N/A,"$19,548 ","$2,041 ","$2,330 ","$824,382 ",$119 ,$4 ,
CODEINE!PHENYLEPHRINE!PSEUDOEPHEDRINE,O ORALS,BRANDED GENERIC,NOTUSS-NXD,9.375-10-30MG/5ML,,"$18,032 ","$91,227 ","$17,002 ",,,
CODEINE!PHENYLEPHRINE!PYRILAMINE,O ORALS,BRANDED GENERIC,PRO-RED AC,9-8.33-5MG/5ML,"$43,072 ","$90,616 ","$87,900 ","$85,640 ","$77,845 ",$295 ,
CODEINE!PHENYLEPHRINE!PYRILAMINE,O ORALS,BRANDED GENERIC,ZOTEX-C,5-5-10MG/5ML,"$55,324 ","$38,396 ",,,,,
CODEINE!PROMETHAZINE,O ORALS,GENERIC,CD/PROMETH,10-6.25MG/5ML,"$6,671,217 ","$12,720,863 ","$13,743,984 ","$14,809,789 ","$13,965,415 ","$11,180,204 ","$4,211,582 "
CODEINE!PROMETHAZINE,O ORALS,GENERIC,CD/PROMETH,N/A,"$1,330,953 ","$2,644,510 ","$2,627,388 ","$412,983 ","$216,459 ","$135,524 ","$73,437 "
CODEINE!PSEUDOEPHEDRINE,O ORALS,BRANDED GENERIC,ENDACOF-DC,30-10MG/5ML,"$24,527 ","$35,112 ","$10,996 ","$4,217 ",,,
CODEINE!PSEUDOEPHEDRINE,O ORALS,BRANDED GENERIC,NOTUSS DC,10-30MG/5ML,"$182,020 ","$132,822 ","$4,793 ",,,,
CODEINE!PSEUDOEPHEDRINE,O ORALS,BRANDED GENERIC,NUCOFED,60MG-20MG,$72 ,,,,,,
CODEINE!PSEUDOEPHEDRINE,O ORALS,GENERIC,CD/PSE,30-10MG/5ML,,"$22,757 ","$12,185 ",,,,
CODEINE!PSEUDOEPHEDRINE,O ORALS,GENERIC,CODAR D,8-30MG/5ML,,,"$3,974 ","$4,817 ",$146 ,,
CODEINE!PSEUDOEPHEDRINE!PYRILAMINE,O ORALS,BRANDED GENERIC,NEO AC,15-30-10MG/5ML,"$33,562 ","$72,914 ","$54,549 ","$25,930 ","$5,189 ",,
CODEINE!PSEUDOEPHEDRINE!TRIPROLIDINE,O ORALS,BRANDED GENERIC,POLY HIST NC,15-10-1.25MG/5ML,,"$4,687 ","$18,084 ","$6,712 ",$60 ,,
CODEINE!PYRILAMINE,O ORALS,BRANDED GENERIC,PRO-CLEAR AC,9-8.33MG/5ML,"$13,693 ","$27,514 ","$31,817 ","$56,380 ","$50,825 ","$17,869 ",
COFFEE,O ORALS,OTHER,GREEN COFFEE BEAN,400MG,,,,,"$1,125 ","$7,459 ",$28 
COLA ACUMINATA,O ORALS,OTHER,COLA SYRUP,N/A,"$10,125 ","$3,729 ",$47 ,$113 ,$10 ,$177 ,$434 
COLCHICINE,O ORALS,BRANDED GENERIC,COLCRYS,0.6MG,"$4,256,037 ","$54,395,449 ","$498,356,513 ","$574,182,630 ","$634,982,257 ","$709,467,852 ","$81,064,038 "
COLCHICINE,O ORALS,BRANDED GENERIC,MITIGARE,0.6MG,,,,,,"$1,767 ",
COLCHICINE,O ORALS,GENERIC,COLCHICINE,0.6MG,"$14,194,943 ","$66,755,085 ","$1,854,476 ","$149,079 ","$8,395 ",,"$89,694,006 "
COLCHICINE,Y ALL OTHERS,GENERIC,COLCHICINE,100%,,,,$920 ,$174 ,"$10,317 ",
COLCHICINE!PROBENECID,O ORALS,GENERIC,PROBENECID/COLCH,0.5-500MG,"$1,981,463 ","$4,204,871 ","$6,212,207 ","$5,378,570 ","$4,867,340 ","$4,428,316 ","$1,102,875 "
COLESEVELAM,O ORALS,BRAND,WELCHOL,3.75GM,,"$54,964,069 ","$71,870,412 ","$90,859,671 ","$108,179,812 ","$116,749,889 ","$29,666,399 "
COLESEVELAM,O ORALS,BRAND,WELCHOL,625MG,"$168,976,873 ","$358,581,593 ","$368,716,920 ","$383,450,472 ","$481,884,740 ","$582,986,668 ","$156,222,793 "
COLESTIPOL,O ORALS,BRAND,COLESTID,1GM,"$3,798,652 ","$5,619,684 ","$5,517,117 ","$1,084,450 ","$7,622,463 ","$3,578,017 ","$176,328 "
COLESTIPOL,O ORALS,BRAND,COLESTID,BTL-FL,"$243,145 ","$452,703 ","$450,829 ","$137,795 ","$154,879 ","$125,001 ","$37,007 "
COLESTIPOL,O ORALS,BRAND,COLESTID,BTL-PL,"$250,222 ","$451,405 ","$385,660 ","$122,767 ","$146,924 ","$84,347 ","$42,209 "
COLESTIPOL,O ORALS,BRAND,COLESTID,PKT-FL,"$165,900 ","$340,126 ","$301,868 ","$225,596 ","$206,122 ","$195,128 ","$52,806 "
COLESTIPOL,O ORALS,BRAND,COLESTID,PKT-PL,"$931,677 ","$1,467,349 ","$1,291,666 ","$540,255 ","$809,981 ","$441,764 ","$324,923 "
COLESTIPOL,O ORALS,GENERIC,COLESTIPOL HCL,1GM,"$7,232,834 ","$16,057,327 ","$19,247,949 ","$25,526,040 ","$25,889,906 ","$32,037,478 ","$9,432,249 "
COLESTIPOL,O ORALS,GENERIC,COLESTIPOL HCL,5GM,"$611,994 ","$1,825,755 ","$2,282,595 ","$1,843,910 ","$1,302,325 ","$1,795,825 ","$156,587 "
COLESTIPOL,O ORALS,GENERIC,COLESTIPOL HCL,N/A,"$132,028 ","$351,629 ","$413,281 ","$449,154 ","$340,501 ","$412,685 ","$39,103 "
COLISTIN,I INJECTABLES,BRAND,COLYMYCIN-M,150MG,"$1,773,795 ","$958,968 ","$1,646,426 ","$1,070,385 ","$812,941 ","$578,728 ","$126,835 "
COLISTIN,I INJECTABLES,GENERIC,COLISTIMETHATE SOD,150MG,"$7,293,441 ","$13,123,831 ","$11,099,646 ","$10,963,933 ","$10,927,983 ","$11,302,992 ","$2,964,583 "
COLISTIN!HYDROCORTISONE!NEOMYCIN!THONZYLAMINE,E OTICS,BRANDED GENERIC,CORTISPORIN-TC,3.3-3-10MG/ML,"$1,390,812 ","$2,804,325 ","$2,958,296 ","$2,311,701 ","$3,565,480 ","$3,067,330 ","$837,642 "
COLISTIN!HYDROCORTISONE!NEOMYCIN!TONZONIUM HYDROXIDE,E OTICS,BRAND,COLYMYCIN-S,10-3-3.3MG/ML,"$165,399 ","$376,677 ","$391,534 ","$516,009 ","$437,327 ","$488,689 ","$122,287 "
COLLAGEN,D DERMATOLOGICALS,BRANDED GENERIC,AVITENE,N/A,"$6,154,972 ","$11,207,365 ","$10,955,486 ","$9,959,537 ","$10,633,373 ","$10,474,151 ","$2,248,814 "
COLLAGEN,D DERMATOLOGICALS,BRANDED GENERIC,AVITENE ULTRAFOAM,N/A,"$146,235 ","$483,909 ","$550,847 ","$466,199 ","$407,491 ","$407,190 ","$131,230 "
COLLAGEN,D DERMATOLOGICALS,BRANDED GENERIC,HELISTAT,N/A,"$171,416 ","$264,196 ","$299,332 ","$864,743 ","$271,088 ","$81,359 ","$19,112 "
COLLAGEN,D DERMATOLOGICALS,BRANDED GENERIC,HELITENE,0.5GM,"$9,343 ","$11,705 ","$12,694 ","$14,122 ","$15,191 ","$19,689 ","$7,287 "
COLLAGEN,D DERMATOLOGICALS,BRANDED GENERIC,HELITENE,1GM,"$22,454 ","$148,955 ","$18,433 ","$86,637 ",,,"$49,181 "
COLLAGEN,D DERMATOLOGICALS,BRANDED GENERIC,INSTAT,N/A,"$2,271,770 ","$3,831,912 ","$3,359,397 ","$2,650,462 ","$1,715,334 ","$2,069,049 ","$416,724 "
COLLAGENASE,D DERMATOLOGICALS,BRANDED GENERIC,SANTYL,250U/GM,"$40,284,249 ","$96,044,843 ","$126,146,406 ","$154,339,690 ","$269,651,282 ","$287,348,719 ","$74,915,165 "
COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,S OTHER SYSTEMICS,BRANDED GENERIC,XIAFLEX,0.9MG,,"$8,162,753 ","$22,897,565 ","$32,030,771 ","$36,130,584 ","$93,462,596 ","$30,735,060 "
COLLODIONS,O ORALS,OTHER,COLLODION FLEXIBLE,N/A,$328 ,,,,,,
COLLODIONS,Y ALL OTHERS,GENERIC,COLLODION FLEXIBLE,100%,,,$165 ,$341 ,"$2,855 ","$4,558 ","$1,224 "
COLLODIONS,Y ALL OTHERS,GENERIC,COLLODION FLEXIBLE,USP/NF FLEXIBLE,,,,,"$10,215 ","$10,146 ","$1,745 "
CONESTAT ALFA,I INJECTABLES,BRAND,RUCONEST,2100U,,,,,,"$72,124 ","$1,232,901 "
CONIVAPTAN,I INJECTABLES,BRAND,VAPRISOL,20MG/100ML,"$7,023,202 ","$9,127,418 ","$9,651,522 ","$7,327,045 ","$4,350,389 ","$3,832,392 ","$1,035,990 "
CONTRACEPTIVE DEVICES,J INSERTS/IMPLANTS,BRANDED GENERIC,PARAGARD T 380-A,N/A,"$1,055,680 ","$2,607,510 ","$3,713,956 ","$4,847,433 ","$6,753,554 ","$11,982,981 ","$5,161,186 "
CONTRACEPTIVE DEVICES,V VAGINALS,BRANDED GENERIC,ORTHO DIAPHRAGM KIT,N/A,"$297,642 ","$502,063 ","$434,023 ","$410,976 ","$510,009 ","$98,473 ",$484 
CONTRACEPTIVE DEVICES,V VAGINALS,OTHER,ORTHO UNIV. INTRODUCER,N/A,$10 ,$5 ,$5 ,,,,
COPPER,I INJECTABLES,GENERIC,TRACE ELEMENTS,0.4MG/ML,"$38,501 ","$82,761 ","$166,000 ","$189,952 ","$46,496 ",,
COPPER,I INJECTABLES,GENERIC,TRACE MINERALS,0.4MG/ML,"$50,133 ","$108,352 ","$45,715 ",$19 ,"$60,459 ","$1,724,102 ","$1,924,643 "
COPPER,Y ALL OTHERS,GENERIC,COPPER SULF,N/A,,,,,$4 ,,
COPPER!CYANOCOBALAMIN!FOLIC ACID!IRON  FERROUS!IRON FERRIC!MANGANESE!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!ZINC,O ORALS,BRANDED GENERIC,PUREVIT DUALFE PLUS,106-1MG,,,,"$27,042 ","$42,178 ","$47,922 ","$18,209 "
COPPER!CYANOCOBALAMIN!FOLIC ACID!IRON  FERROUS!MAGNESIUM!MANGANESE!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!SODIUM!THIAMINE,O ORALS,BRANDED GENERIC,HEMOCYTE PLUS,106-1MG,"$383,318 ","$870,623 ","$814,513 ","$709,629 ","$754,324 ","$741,109 ","$193,653 "
COPPER!FOLIC ACID!NIACINAMIDE,O ORALS,GENERIC,NICOMIDE,0.5-750MG,"$2,953 ",,,"$1,616,744 ","$4,417,971 ","$4,805,364 ","$921,267 "
COPPER!FOLIC ACID!NIACINAMIDE!ZINC,O ORALS,BRANDED GENERIC,NICOTINAMIDE ZCF,750-0.5-25-1.5MG,"$771,014 ","$16,780 ",,$219 ,,,
COPPER!FOLIC ACID!PYRIDOXINE!ZINC,O ORALS,BRANDED GENERIC,NICAZEL FORTE,700MG-0.05MG,,,,,"$57,474 ","$1,222,013 ","$370,041 "
COPPER!FOLIC ACID!ZINC,O ORALS,BRANDED GENERIC,DIATX ZN,5-1.5-25MG,"$434,905 ","$474,463 ","$305,781 ","$16,003 ",,,
CORTICORELIN OVINE TRIFLUTATE,I INJECTABLES,BRAND,ACTHREL,100MCG,"$403,376 ","$809,936 ","$624,423 ","$67,859 ","$623,910 ","$828,811 ","$212,987 "
CORTICOTROPHIN,I INJECTABLES,BRAND,ACTHAR H.P.,80U/ML,"$9,310,622 ","$25,607,741 ","$48,907,128 ","$99,168,646 ","$249,933,459 ","$344,518,888 ","$82,366,059 "
CORTISONE,O ORALS,GENERIC,CORTISONE ACE,25MG,"$403,999 ","$761,913 ","$752,583 ","$1,249,779 ","$286,587 ","$1,685,552 ","$331,144 "
COSYNTROPIN,I INJECTABLES,BRAND,CORTROSYN,0.25MG,"$11,910,523 ","$14,974,005 ","$11,959,766 ","$11,563,031 ","$9,806,040 ","$6,954,390 ","$1,542,065 "
COSYNTROPIN,I INJECTABLES,GENERIC,COSYNTROPIN,0.25MG,,"$3,120,945 ","$5,492,127 ","$5,608,021 ","$5,077,374 ","$5,279,375 ","$1,525,922 "
COSYNTROPIN,I INJECTABLES,GENERIC,COSYNTROPIN,0.25MG/ML,"$1,036,539 ","$1,099,549 ","$3,380 ",,,"$9,593 ",
COTTON,Y ALL OTHERS,GENERIC,COTTONSEED OIL,N/A,,,$7 ,,,,
COUGH AND COLD PREP,N NASAL,OTHER,NOSE DROPS,N/A,"$407,524 ","$795,992 ","$947,706 ","$1,072,513 ","$1,118,793 ","$963,383 ","$200,485 "
COUGH AND COLD PREP,O ORALS,OTHER,ALLERGY RELIEF,STR UNSP,"$118,550 ","$224,716 ","$267,156 ","$183,129 ","$282,371 ","$36,222 ",$363 
COUGH AND COLD PREP,O ORALS,OTHER,ANTIHISTAMINE,12.5MG/5ML,"$6,050 ","$13,370 ","$18,460 ","$15,320 ","$9,331 ","$7,314 ","$1,788 "
COUGH AND COLD PREP,O ORALS,OTHER,ANTIHISTAMINE,STR UNSP,"$60,036 ",,,,,,
COUGH AND COLD PREP,O ORALS,OTHER,APAP/DM/GUAI/DXYL/PE,325-10-6.25-200-5MG/15ML,,,,,,"$164,308 ","$2,036,264 "
COUGH AND COLD PREP,O ORALS,OTHER,BUCKLEY COUGH MIX,12.5MG/5ML,"$804,313 ","$830,823 ","$651,039 ","$1,996 ",,,
COUGH AND COLD PREP,O ORALS,OTHER,COLD RELIEF,STR UNSP,"$6,030 ","$14,469 ","$17,152 ","$24,815 ","$45,955 ","$50,377 ","$18,148 "
COUGH AND COLD PREP,O ORALS,OTHER,COUGH SYRUP,N/A,"$534,257 ",,,,,,
COUGH AND COLD PREP,O ORALS,OTHER,DAY TIME,STR UNSP,"$37,842 ","$65,234 ","$90,957 ","$104,816 ","$165,960 ",,
COUGH AND COLD PREP,O ORALS,OTHER,DAYQUIL SEV COLD-F,325-10-200-5MG/15ML,,,,,"$3,482,506 ","$8,259,276 ","$2,770,333 "
COUGH AND COLD PREP,O ORALS,OTHER,DAYQUIL/NYQUIL SEV C&F,325-10-6.25-200-5MG/15ML,,,,,"$3,583,323 ","$9,232,217 ","$3,215,174 "
COUGH AND COLD PREP,O ORALS,OTHER,FLU/COUGH/COLD,MAX STR,,"$12,904 ",,,,,
COUGH AND COLD PREP,O ORALS,OTHER,NYQUIL SEV COLD-F,650-20-12.5-10MG/30ML,,,,,"$6,369,492 ","$13,146,352 ","$4,279,778 "
COUGH AND COLD PREP,O ORALS,OTHER,OMNIGEST EZ,N/A,"$1,670 ","$2,079 ",,,,,
COUGH AND COLD PREP,O ORALS,OTHER,REST EASY,N/A,"$409,905 ","$657,563 ","$377,195 ",,,,
COUGH AND COLD PREP,O ORALS,OTHER,SEVERE COLD/DECONG,STR UNSP,"$782,789 ","$2,050,109 ","$2,567,770 ","$1,785,523 ","$1,159,858 ","$376,271 ",
COUGH AND COLD PREP,O ORALS,OTHER,TRIACTING PM,STR UNSP,"$14,428 ","$26,883 ","$20,656 ","$2,458 ",,,
COUGH AND COLD PREP,O ORALS,OTHER,TUSSIN COLD & COUGH,STR UNSP,"$7,742 ","$6,589 ",,,,,
COUGH AND COLD PREP,O ORALS,OTHER,TUSSIN PE,100-30MG/5ML,"$40,999 ","$70,390 ","$39,407 ","$26,317 ","$22,150 ","$18,485 ","$2,275 "
CRANBERRY,O ORALS,OTHER,ACTIFRUIT,500MG,"$132,919 ","$220,247 ","$266,823 ","$70,310 ",,,
CRANBERRY,O ORALS,OTHER,AZO-CRANBERRY,450MG,"$592,445 ","$1,349,193 ","$1,220,771 ","$1,325,485 ","$2,642,651 ","$3,943,353 ","$927,228 "
CRANBERRY,O ORALS,OTHER,CRANBERRY,250MG,"$762,978 ","$1,123,639 ","$460,424 ","$44,022 ","$40,830 ","$39,562 ","$14,101 "
CRANBERRY,O ORALS,OTHER,CRANBERRY,307MG,"$100,181 ","$190,962 ","$184,724 ","$2,240 ",,,
CRANBERRY,O ORALS,OTHER,CRANBERRY,400MG,"$4,225 ","$13,751 ","$38,358 ","$39,619 ","$64,350 ","$104,114 ","$27,604 "
CRANBERRY,O ORALS,OTHER,CRANBERRY,405MG,"$148,408 ","$22,641 ",,,,,
CRANBERRY,O ORALS,OTHER,CRANBERRY,450MG,"$208,924 ","$588,322 ","$716,519 ","$801,849 ","$788,525 ","$832,114 ","$184,443 "
CRANBERRY,O ORALS,OTHER,CRANBERRY,475MG,"$25,991 ","$59,978 ","$88,708 ","$107,280 ","$118,744 ","$156,907 ","$34,422 "
CRANBERRY,O ORALS,OTHER,CRANBERRY,500MG,"$133,730 ","$201,201 ","$157,469 ","$134,882 ","$99,201 ","$86,397 ","$15,445 "
CRANBERRY,O ORALS,OTHER,CRANBERRY,600MG,,,,"$40,512 ","$36,396 ",,
CRANBERRY,O ORALS,OTHER,CRANBERRY CONC,405MG,"$171,829 ","$377,392 ","$253,820 ",,,,
CRANBERRY,O ORALS,OTHER,CRANBERRY FRUIT,425MG,,"$11,094 ","$33,641 ","$63,542 ","$65,129 ","$73,763 ","$20,679 "
CRANBERRY,O ORALS,OTHER,CRANBERRY FRUIT,475MG,,$4 ,"$7,397 ","$14,546 ","$13,962 ","$16,486 ","$5,523 "
CRANBERRY,O ORALS,OTHER,CRANBERRY JUICE POWDER,425MG,"$71,497 ","$146,720 ","$185,878 ","$197,832 ","$171,110 ","$150,307 ","$31,430 "
CRANBERRY,O ORALS,OTHER,CRAN-MAX,500MG,,$5 ,"$2,730 ","$1,833 ","$2,796 ","$2,000 ",$422 
CRANBERRY,O ORALS,OTHER,SUNKIST GS CRANBRY,500MG,"$4,010 ","$6,082 ","$7,581 ",$817 ,$43 ,,
CRANBERRY!LACTOBACILLUS ACIDOPHILUS,O ORALS,OTHER,CRANBERRY/PROBIOTIC,480-20-30MG,,,$27 ,"$2,204 ","$5,492 ","$7,414 ","$2,072 "
CREAMS,D DERMATOLOGICALS,BRANDED GENERIC,AVO CREAM,N/A,,,,,"$153,670 ","$169,663 ","$44,507 "
CREAMS,D DERMATOLOGICALS,OTHER,ANTIFUNGALS,N/A,"$296,652 ","$603,252 ","$654,933 ","$741,629 ","$747,358 ","$778,456 ","$147,616 "
CREAMS,D DERMATOLOGICALS,OTHER,ANTI-ITCH,N/A,"$522,567 ","$1,613,620 ","$1,588,151 ","$1,514,373 ","$1,522,971 ","$979,133 ","$218,091 "
CREAMS,D DERMATOLOGICALS,OTHER,AQUA MED,N/A,"$2,998 ","$6,206 ","$5,238 ","$3,516 ","$5,138 ","$6,359 ","$1,063 "
CREAMS,D DERMATOLOGICALS,OTHER,AVEENO,N/A,"$357,550 ","$756,914 ","$1,066,379 ","$806,113 ","$393,516 ","$793,028 ","$226,011 "
CREAMS,D DERMATOLOGICALS,OTHER,BAZA PRO,N/A,"$331,663 ","$676,314 ","$508,179 ","$535,666 ","$520,879 ","$416,747 ","$88,591 "
CREAMS,D DERMATOLOGICALS,OTHER,BOROLEUM,N/A,"$63,386 ","$148,243 ","$109,425 ","$120,530 ","$109,053 ","$105,644 ","$35,697 "
CREAMS,D DERMATOLOGICALS,OTHER,CETAPHIL,N/A,"$22,886 ","$56,580 ","$59,121 ","$40,007 ","$42,265 ","$18,617 ",$198 
CREAMS,D DERMATOLOGICALS,OTHER,COMPLEX-15,N/A,"$297,243 ","$450,875 ","$382,906 ","$359,202 ","$344,366 ","$210,883 ",$10 
CREAMS,D DERMATOLOGICALS,OTHER,D.M.L.,N/A,"$121,111 ","$212,464 ","$205,907 ","$174,322 ","$134,465 ","$103,549 ","$25,860 "
CREAMS,D DERMATOLOGICALS,OTHER,DERMAGRAN,N/A,"$4,604 ","$7,175 ","$4,784 ","$4,909 ","$1,374 ","$1,195 ",
CREAMS,D DERMATOLOGICALS,OTHER,DML FORTE,N/A,"$67,285 ","$133,195 ","$85,677 ","$90,020 ","$80,348 ","$67,755 ","$19,159 "
CREAMS,D DERMATOLOGICALS,OTHER,ELTA,N/A,,,$210 ,"$5,243 ","$3,807 ","$3,373 ",$794 
CREAMS,D DERMATOLOGICALS,OTHER,EPILYT,N/A,$22 ,$8 ,,,,,
CREAMS,D DERMATOLOGICALS,OTHER,EUCERIN PLUS,N/A,"$1,341,093 ","$3,241,296 ","$2,906,963 ","$2,155,474 ","$3,326,563 ","$3,726,301 ","$570,707 "
CREAMS,D DERMATOLOGICALS,OTHER,HYDRISINOL,N/A,,,$22 ,,,,
CREAMS,D DERMATOLOGICALS,OTHER,HYDROCREAM BASE,N/A,$335 ,$645 ,$447 ,$195 ,$68 ,$33 ,$16 
CREAMS,D DERMATOLOGICALS,OTHER,HYDROPHOR,N/A,"$308,884 ","$693,593 ","$890,993 ","$923,980 ","$950,172 ","$960,583 ","$281,849 "
CREAMS,D DERMATOLOGICALS,OTHER,KERODEX,#51,$954 ,"$3,051 ","$2,409 ","$3,246 ","$1,521 ",$958 ,$430 
CREAMS,D DERMATOLOGICALS,OTHER,KERODEX,#71,"$11,867 ","$25,900 ","$20,860 ","$23,191 ","$19,621 ","$13,351 ","$3,582 "
CREAMS,D DERMATOLOGICALS,OTHER,KY JELLY,N/A,"$3,155,610 ","$6,309,747 ","$5,646,737 ","$6,545,410 ","$6,707,713 ","$6,060,544 ","$568,226 "
CREAMS,D DERMATOLOGICALS,OTHER,LANOLOR,N/A,"$4,773 ","$9,991 ","$7,072 ","$1,888 ",$643 ,$41 ,
CREAMS,D DERMATOLOGICALS,OTHER,LUBRIDERM,N/A,"$7,580,600 ","$15,760,887 ","$15,637,015 ","$15,538,814 ","$15,646,106 ","$15,324,648 ","$4,218,977 "
CREAMS,D DERMATOLOGICALS,OTHER,MAXILUBE,N/A,"$6,963 ","$18,136 ","$9,826 ","$10,271 ","$16,828 ","$18,897 ","$6,251 "
CREAMS,D DERMATOLOGICALS,OTHER,NUTRADERM,N/A,,$14 ,,,,,
CREAMS,D DERMATOLOGICALS,OTHER,NUTRADERM 30,N/A,"$51,656 ","$111,114 ","$14,562 ","$2,559 ","$1,078 ",$250 ,$176 
CREAMS,D DERMATOLOGICALS,OTHER,PEN-KERA,N/A,"$10,272 ","$20,619 ","$15,600 ","$13,967 ","$13,939 ","$13,863 ","$4,259 "
CREAMS,D DERMATOLOGICALS,OTHER,PERI-CARE,N/A,"$3,056 ","$6,421 ","$8,301 ","$4,014 ","$2,975 ",,
CREAMS,D DERMATOLOGICALS,OTHER,SHEPARDS,N/A,$58 ,$19 ,,,,,
CREAMS,D DERMATOLOGICALS,OTHER,SURGILUBE,N/A,"$4,971,231 ","$8,693,791 ","$9,482,586 ","$8,330,018 ","$8,449,657 ","$6,209,143 ","$1,372,924 "
CREAMS,D DERMATOLOGICALS,OTHER,THERAPLEX,N/A,"$126,750 ","$256,667 ","$228,503 ","$212,363 ","$211,672 ","$198,443 ","$46,283 "
CREAMS,D DERMATOLOGICALS,OTHER,WIBI LOT,N/A,"$34,695 ","$78,864 ","$77,833 ","$42,670 ","$35,494 ","$26,585 ","$5,837 "
CREAMS,T OTHER TOPICALS,BRANDED GENERIC,ATRAPRO CP,N/A,,,,,"$788,196 ","$564,800 ","$144,667 "
CREAMS,T OTHER TOPICALS,BRANDED GENERIC,PROMISEB COMPLETE,N/A,,,,"$2,136,060 ","$3,655,750 ","$3,065,786 ","$679,175 "
CREAMS,Y ALL OTHERS,GENERIC,SCAR CARE,100%,,,,,,"$1,489,356 ",
CREAMS,Y ALL OTHERS,GENERIC,VANISHING CREAM,100%,,,,,"$17,325 ","$23,181 ","$9,209 "
CREAMS,Y ALL OTHERS,GENERIC,WOUND CARE,100%,,,,,,"$334,403 ","$371,778 "
CREAMS!MINERAL OIL,D DERMATOLOGICALS,OTHER,EUCERIN DRY SKIN,N/A,"$548,051 ","$1,135,825 ","$1,524,178 ","$1,670,399 ","$2,486,817 ","$3,172,131 ","$1,101,402 "
CREATINE,Y ALL OTHERS,GENERIC,CREATINE MONOHYD,100%,,,$59 ,$442 ,$323 ,$410 ,$88 
CREATININE,Y ALL OTHERS,GENERIC,CREATINE MONOHYD,100%,,,,,,,"$1,149 "
CREOSOTE!FORMALDEHYDE!GUAIACOL!SALICYLIC ACID,D DERMATOLOGICALS,OTHER,NUMOTIZINE,N/A,$149 ,"$1,696 ",$742 ,$610 ,$843 ,$403 ,
CRIZOTINIB,O ORALS,BRAND,XALKORI,200MG,,,"$669,081 ","$7,042,608 ","$13,717,512 ","$20,192,003 ","$7,316,227 "
CRIZOTINIB,O ORALS,BRAND,XALKORI,250MG,,,"$9,896,201 ","$63,128,059 ","$102,758,403 ","$145,269,097 ","$49,422,842 "
CROFELEMER,O ORALS,BRAND,FULYZAQ,125MG,,,,,"$1,180,391 ","$2,549,818 ","$753,351 "
CROMOLYN,N NASAL,OTHER,CROMOLYN SOD,40MG/ML,"$29,186 ","$145,029 ","$158,170 ","$17,404 ","$20,538 ","$27,241 ","$10,534 "
CROMOLYN,N NASAL,OTHER,CROMOLYN SOD (OTC),40MG/ML,"$105,502 ","$205,598 ","$199,722 ","$214,265 ","$238,292 ","$232,215 ","$56,897 "
CROMOLYN,N NASAL,OTHER,NASALCROM (OTC),40MG/ML,"$1,701,272 ","$3,461,257 ","$2,307,514 ","$2,314,548 ","$2,803,921 ","$2,503,147 ","$616,958 "
CROMOLYN,P OPHTHALMICS,BRANDED GENERIC,CROLOM,4%,"$14,295 ","$1,840 ",,,,,
CROMOLYN,H INHALANTS,BRAND,INTAL,10MG/ML,"$2,361 ",$580 ,,,,,
CROMOLYN,H INHALANTS,BRAND,INTAL,800MCG,"$1,542,766 ","$5,321 ",$790 ,,,,
CROMOLYN,O ORALS,BRAND,GASTROCROM,20MG/ML,"$4,298,217 ","$9,836,651 ","$12,586,361 ","$5,706,738 ","$3,599,784 ","$2,184,781 ","$468,704 "
CROMOLYN,H INHALANTS,GENERIC,CROMOLYN SOD,20MG/2ML,"$1,009,470 ","$2,275,153 ","$1,617,961 ","$1,732,835 ","$1,871,114 ","$2,186,413 ","$908,745 "
CROMOLYN,O ORALS,GENERIC,CROMOLYN SOD,20MG/ML,,,"$120,369 ","$7,331,905 ","$12,707,834 ","$15,061,912 ","$4,439,549 "
CROMOLYN,P OPHTHALMICS,GENERIC,CROMOLYN SOD,4%,"$570,444 ","$1,328,841 ","$1,426,071 ","$1,715,890 ","$1,837,570 ","$1,890,474 ","$414,177 "
CROMOLYN,Y ALL OTHERS,GENERIC,CROMOLYN SOD,N/A,,,$234 ,"$13,062 ","$33,308 ","$41,311 ","$7,950 "
CROTAMITON,D DERMATOLOGICALS,BRAND,EURAX,10%,"$1,505,464 ","$4,726,150 ","$5,383,117 ","$4,350,196 ","$1,973,646 ","$4,280,936 ","$1,162,156 "
CRYSTAL VIOLET,D DERMATOLOGICALS,OTHER,GENTIAN VIOLET,1%,"$3,453 ","$31,579 ","$61,093 ","$75,834 ","$79,862 ","$78,311 ","$21,627 "
